0.005134 0.000113
0.021941 0.000109
0.040613 0.000333
0.058356 0.000101
0.076096 0.000097
0.091969 0.000093
0.112509 0.000317
0.124652 -0.000257
0.138650 0.000539
0.144229 0.003049
0.149812 0.005103
0.154456 0.007727
0.157230 0.010694
0.159072 0.013434
0.162789 0.015259
0.168360 0.018683
0.170201 0.021422
0.174835 0.025188
0.180407 0.028383
0.185991 0.030323
0.189704 0.032719
0.191553 0.034659
0.195270 0.036599
0.200845 0.039452
0.206433 0.041049
0.213891 0.042303
0.222282 0.043556
0.231619 0.043554
0.243772 0.042067
0.252191 0.040353
0.259669 0.039438
0.266217 0.038181
0.271835 0.036467
0.276522 0.034526
0.283069 0.033268
0.287755 0.031441
0.293369 0.030184
0.300855 0.028470
0.302736 0.026985
0.311155 0.025271
0.316769 0.024014
0.324255 0.022300
0.334545 0.020243
0.345766 0.018414
0.360724 0.016470
0.380341 0.015438
0.403693 0.014519
0.428904 0.014400
0.450376 0.014737
0.469981 0.015075
0.486787 0.015071
0.505466 0.014610
0.517608 0.014151
0.535358 0.013120
0.540971 0.011977
0.550321 0.010605
0.556865 0.009804
0.568079 0.008774
0.583960 0.007857
0.585846 0.005916
0.590491 0.004713
0.592412 0.002718
0.600836 0.000433
0.601791 -0.001850
0.606483 -0.004362
0.612108 -0.006761
0.614927 -0.008702
0.618681 -0.010758
0.625241 -0.013271
0.628997 -0.015555
0.635557 -0.018182
0.641183 -0.020695
0.649603 -0.022523
0.658015 -0.023438
0.666427 -0.024353
0.683215 -0.022302
0.691596 -0.019907
0.699041 -0.017283
0.702749 -0.014430
0.710192 -0.011578
0.715766 -0.008497
0.722273 -0.005416
0.727848 -0.002564
0.735289 0.000517
0.742728 0.003826
0.751101 0.007134
0.760416 0.009415
0.771606 0.011011
0.784669 0.011921
0.797753 0.010662
0.804303 0.009177
0.810858 0.007121
0.816474 0.005635
0.823037 0.002780
0.832398 0.000152
0.838026 -0.002589
0.848320 -0.005103
0.853944 -0.007387
0.864233 -0.009330
0.877329 -0.011959
0.893213 -0.013104
0.916555 -0.012995
0.935224 -0.012543
0.954826 -0.011862
0.974422 -0.010611
0.984682 -0.009472
0.996810 -0.008333
